,pub_name,lat,lng,median_item_price
0,Viking's Landing Liverpool,53.405472,-2.980539,5.175000000000001
1,Blaina Wharf Newport,51.578535,-2.980712,4.85
2,Cherry Laurel Bridgend,51.498888,-3.549007,4.75
3,Y Cerrig Glas Pembroke Dock,51.693539,-4.939202,4.5
4,Willow Tree Brynmawr,51.795257,-3.17876,4.9
5,Clock Works Ystradgynlais,51.76749,-3.77317,4.8
6,Ten Lock Flight Runcorn,53.335697,-2.7318,4.5
7,Cotton Mill Newcastle-under-Lyme,53.01247,-2.22949,4.95
8,Peacock Birchwood,53.414146,-2.527026,4.95
9,Mulberry Leaves Leek,53.111871,-2.037111,4.85
10,Inkwell at Lichfield,52.674901,-1.843344,5.0
11,Sarsen Stones Farnborough,51.293044,-0.791889,5.0
12,Alders Ollerton,53.200969,-1.027824,4.95
13,Tawny Owl Newark,39.681656,-75.753614,4.8
14,Golden Eagle Mansfield,53.126373,-1.151022,4.6
15,Eighteen Ten Sheffield,53.402497,-1.421661,4.95
16,Copper Beech Norwich,52.653705,1.180895,4.4
17,Greenstone Dereham,52.68732,0.935,4.65
18,Cobblestones March,52.556068,0.073042,4.3
19,Running Horse Fakenham,52.91572,0.94838,4.95
20,Apple Cart Peterborough,52.573888,-0.24167,4.6
21,Spring Tide Lowestoft,52.470109,1.742617,4.65
22,Honeystone Hunstanton,52.936987,0.486946,4.55
23,Spread Eagle Corby,52.48763,-0.701543,4.55
24,Swan & Cygnet Wakefield,53.682567,-1.500047,4.85
25,Kings Chamber Thorne,53.617545,-0.974235,4.5
26,Iron Forge Scunthorpe,53.564145,-0.690626,4.5
27,Bobbin Carrier Bradford,53.735789,-1.722292,4.8
28,Chestnut Tree Wednesbury,52.55906,-2.03373,7.95
29,Copperpot Knowsley,53.469705,-2.849645,4.85
30,Dancing Betty Murton,54.815371,-1.374744,4.65
31,Fieldfare Chorley,53.653198,-2.629474,4.55
32,Fly Line Garforth,53.797099,-1.377615,4.65
33,Flying Squirrel Bradford,53.794157,-1.749478,4.4
34,Fox Cub Spennymoor,54.705671,-1.566164,4.9
35,Guelder Rose Southport,53.647599,-3.004175,5.25
36,Jenny Wren Kent,51.351872,0.717249,5.0
37,Lincolnshire Otter Gainsborough,53.398289,-0.748648,4.85
38,Little Castle Markham Vale,53.234978,-1.42436,4.85
39,Longacre Skelton,54.60708,-1.05928,4.65
40,March Hare Bishop Auckland,54.664076,-1.675286,4.0
41,Old Buttercross Oakham,52.669935,-0.728462,5.2
42,Old Duke Southport,53.63252,-2.969738,4.7
