,pub_name,address,lat,lng
0,Viking's Landing Liverpool,"Liverpool, L11 2BD",53.405472,-2.980539
504,Horn & Trumpet Stoke-on-Trent,"Stoke-on-Trent, ST1 6EJ",53.016201,-2.181261
505,Elms Lutterworth,"Lutterworth, LE17 4HB",52.455222,-1.199782
506,Skymaster Warrington,"Warrington, Burtonwood, WA5 7YA",53.43025,-2.65581
507,Blaina Wharf Newport,"Newport, NP20 2FR",51.578535,-2.980712
1077,Cherry Laurel Bridgend,"Bridgend, CF31 3RY",51.498888,-3.549007
1616,Y Cerrig Glas Pembroke Dock,"Pembroke Dock, SA72 6JY",51.693539,-4.939202
2247,Willow Tree Brynmawr,"Brynmawr, NP23 4SL",51.795257,-3.17876
2739,Clock Works Ystradgynlais,"Ystradgynlais, SA9 1AD",51.76749,-3.77317
3421,Ten Lock Flight Runcorn,"Runcorn, WA7 5TW",53.335697,-2.7318
4105,Cotton Mill Newcastle-under-Lyme,"Newcastle-Under-Lyme, ST5 2AF",53.01247,-2.22949
4680,Station Pilot,"Crewe, CW2 5UZ",53.099615,-2.441463
4681,Peacock Birchwood,"Warrington, WA3 7PG",53.414146,-2.527026
5164,Mulberry Leaves Leek,"Leek, ST13 8YG",53.111871,-2.037111
5623,Inkwell at Lichfield,"Lichfield, Staffordshire, WS13 6RX",52.674901,-1.843344
6090,Fleeting Brook Caterham,"Surrey, CR3 5QX",49.104508,-122.823486
6091,Oyster Bed Whitstable,"Whitstable, CT5 3JE",51.359718,1.064685
6092,Canterbury Bell Thanet,"Thanet, CT10 2QD",51.35959,1.396681
6093,Poppy Fields Maidstone,"Maidstone, ME16 0LS",51.291812,0.496171
6094,Saxon King Southend-on-Sea,"Southend, SS2 6QN",51.602067,-0.915358
6095,Star at Sidcup Place,"Sidcup, Kent, DA14 6BF",51.424853,0.103076
6096,Sarsen Stones Farnborough,"Farnborough, GU14 0JW",51.293044,-0.791889
6543,Coaching Halt Crawley,"Crawley, RH10 7NN",51.107478,-0.143089
6544,Flying Shuttle Haverhill,"Haverhill, CB9 7FB",42.777425,-71.077334
